Término1,Término2,Co-ocurrencias
University – College,Computational Thinking Assessment for Chinese Elementary Students - CTA-CES,1
University – College,Computerized Adaptive Programming Concepts Test - CAPCT,1
University – College,Blockly Games,1
University – College,LightbotJr,1
Block programming,Abstraction,1
Block programming,Algorithmic thinking,1
Block programming,Logical thinking,1
Block programming,Problem solving,1
Block programming,Programming,1
Block programming,Computational Thinking Test,1
Block programming,Mixed methods,1
Block programming,Post-test,1
Block programming,Pre-test,1
Block programming,University – College,1
Block programming,Robotics,1
Block programming,Scratch,1
Block programming,KIBO robots,1
Robotics,Abstraction,1
Robotics,Algorithmic thinking,1
Robotics,Logical thinking,1
Robotics,Problem solving,1
Robotics,Programming,1
Robotics,Computational Thinking Test,1
Robotics,Mixed methods,1
Robotics,Post-test,1
Robotics,Pre-test,1
Robotics,University – College,1
Robotics,Block programming,1
Robotics,Scratch,1
Robotics,KIBO robots,1
Scratch,Abstraction,1
Scratch,Algorithmic thinking,1
Scratch,Logical thinking,1
Scratch,Problem solving,1
Scratch,Programming,1
Scratch,Computational Thinking Test,1
Scratch,Mixed methods,1
Scratch,Post-test,1
Scratch,Pre-test,1
Scratch,University – College,1
Scratch,Block programming,1
Scratch,Robotics,1
Scratch,KIBO robots,1
KIBO robots,Abstraction,1
KIBO robots,Algorithmic thinking,1
KIBO robots,Logical thinking,1
KIBO robots,Problem solving,1
KIBO robots,Programming,1
KIBO robots,Computational Thinking Test,1
KIBO robots,Mixed methods,1
KIBO robots,Post-test,1
KIBO robots,Pre-test,1
KIBO robots,University – College,1
KIBO robots,Block programming,1
KIBO robots,Robotics,1
KIBO robots,Scratch,1
Conditionals,Control structures,1
Conditionals,Variables,1
Conditionals,Confirmatory Factor Analysis - CFA,1
Conditionals,Item Response Theory (IRT) - IRT,1
Conditionals,Reliability,1
Conditionals,Validity,1
Conditionals,Beginners Computational Thinking test - BCTt,1
Conditionals,Competent Computational Thinking test - cCTt,1
Conditionals,Computational Thinking Test,1
Conditionals,Upper elementary education - Upper elementary school,2
Conditionals,Plugged activities,1
Conditionals,Unplugged activities,1
Conditionals,Arduino,1
Conditionals,CSUnplugged,1
Conditionals,Critical thinking,1
Conditionals,Events,1
Conditionals,Persistence,1
Conditionals,Exploratory Factor Analysis - EFA,1
Conditionals,Instrument of computational identity,1
Conditionals,No experimental,1
Conditionals,Experimental,1
Conditionals,Mobile application,1
Conditionals,Gamification,1
Conditionals,ScratchJr,1
Conditionals,Mimo,1
Control structures,Conditionals,1
Control structures,Variables,1
Control structures,Confirmatory Factor Analysis - CFA,1
Control structures,Item Response Theory (IRT) - IRT,1
Control structures,Reliability,1
Control structures,Validity,1
Control structures,Beginners Computational Thinking test - BCTt,1
Control structures,Competent Computational Thinking test - cCTt,1
Control structures,Computational Thinking Test,1
Control structures,Upper elementary education - Upper elementary school,1
Control structures,Plugged activities,1
Control structures,Unplugged activities,1
Control structures,Arduino,1
Control structures,CSUnplugged,1
Variables,Conditionals,1
Variables,Control structures,1
Variables,Confirmatory Factor Analysis - CFA,1
Variables,Item Response Theory (IRT) - IRT,1
Variables,Reliability,1
Variables,Validity,1
Variables,Beginners Computational Thinking test - BCTt,1
Variables,Competent Computational Thinking test - cCTt,1
Variables,Computational Thinking Test,1
Variables,Upper elementary education - Upper elementary school,1
Variables,Plugged activities,1
Variables,Unplugged activities,1
Variables,Arduino,1
Variables,CSUnplugged,1
Confirmatory Factor Analysis - CFA,Conditionals,1
Confirmatory Factor Analysis - CFA,Control structures,1
Confirmatory Factor Analysis - CFA,Variables,1
Confirmatory Factor Analysis - CFA,Item Response Theory (IRT) - IRT,1
Confirmatory Factor Analysis - CFA,Reliability,1
Confirmatory Factor Analysis - CFA,Validity,1
Confirmatory Factor Analysis - CFA,Beginners Computational Thinking test - BCTt,1
Confirmatory Factor Analysis - CFA,Competent Computational Thinking test - cCTt,1
Confirmatory Factor Analysis - CFA,Computational Thinking Test,1
Confirmatory Factor Analysis - CFA,Upper elementary education - Upper elementary school,1
Confirmatory Factor Analysis - CFA,Plugged activities,1
Confirmatory Factor Analysis - CFA,Unplugged activities,1
Confirmatory Factor Analysis - CFA,Arduino,1
Confirmatory Factor Analysis - CFA,CSUnplugged,1
Item Response Theory (IRT) - IRT,Conditionals,1
Item Response Theory (IRT) - IRT,Control structures,1
Item Response Theory (IRT) - IRT,Variables,1
Item Response Theory (IRT) - IRT,Confirmatory Factor Analysis - CFA,1
Item Response Theory (IRT) - IRT,Reliability,1
Item Response Theory (IRT) - IRT,Validity,1
Item Response Theory (IRT) - IRT,Beginners Computational Thinking test - BCTt,1
Item Response Theory (IRT) - IRT,Competent Computational Thinking test - cCTt,1
Item Response Theory (IRT) - IRT,Computational Thinking Test,1
Item Response Theory (IRT) - IRT,Upper elementary education - Upper elementary school,1
Item Response Theory (IRT) - IRT,Plugged activities,1
Item Response Theory (IRT) - IRT,Unplugged activities,1
Item Response Theory (IRT) - IRT,Arduino,1
Item Response Theory (IRT) - IRT,CSUnplugged,1
Reliability,Conditionals,1
Reliability,Control structures,1
Reliability,Variables,1
Reliability,Confirmatory Factor Analysis - CFA,1
Reliability,Item Response Theory (IRT) - IRT,1
Reliability,Validity,1
Reliability,Beginners Computational Thinking test - BCTt,1
Reliability,Competent Computational Thinking test - cCTt,1
Reliability,Computational Thinking Test,1
Reliability,Upper elementary education - Upper elementary school,1
Reliability,Plugged activities,1
Reliability,Unplugged activities,1
Reliability,Arduino,1
Reliability,CSUnplugged,1
Validity,Conditionals,1
Validity,Control structures,1
Validity,Variables,1
Validity,Confirmatory Factor Analysis - CFA,1
Validity,Item Response Theory (IRT) - IRT,1
Validity,Reliability,1
Validity,Beginners Computational Thinking test - BCTt,1
Validity,Competent Computational Thinking test - cCTt,1
Validity,Computational Thinking Test,1
Validity,Upper elementary education - Upper elementary school,1
Validity,Plugged activities,1
Validity,Unplugged activities,1
Validity,Arduino,1
Validity,CSUnplugged,1
Beginners Computational Thinking test - BCTt,Conditionals,1
Beginners Computational Thinking test - BCTt,Control structures,1
Beginners Computational Thinking test - BCTt,Variables,1
Beginners Computational Thinking test - BCTt,Confirmatory Factor Analysis - CFA,1
Beginners Computational Thinking test - BCTt,Item Response Theory (IRT) - IRT,1
Beginners Computational Thinking test - BCTt,Reliability,1
Beginners Computational Thinking test - BCTt,Validity,1
Beginners Computational Thinking test - BCTt,Competent Computational Thinking test - cCTt,1
Beginners Computational Thinking test - BCTt,Computational Thinking Test,1
Beginners Computational Thinking test - BCTt,Upper elementary education - Upper elementary school,1
Beginners Computational Thinking test - BCTt,Plugged activities,1
Beginners Computational Thinking test - BCTt,Unplugged activities,1
Beginners Computational Thinking test - BCTt,Arduino,1
Beginners Computational Thinking test - BCTt,CSUnplugged,1
Competent Computational Thinking test - cCTt,Conditionals,1
Competent Computational Thinking test - cCTt,Control structures,1
Competent Computational Thinking test - cCTt,Variables,1
Competent Computational Thinking test - cCTt,Confirmatory Factor Analysis - CFA,1
Competent Computational Thinking test - cCTt,Item Response Theory (IRT) - IRT,1
Competent Computational Thinking test - cCTt,Reliability,1
Competent Computational Thinking test - cCTt,Validity,1
Competent Computational Thinking test - cCTt,Beginners Computational Thinking test - BCTt,1
Competent Computational Thinking test - cCTt,Computational Thinking Test,1
Competent Computational Thinking test - cCTt,Upper elementary education - Upper elementary school,1
Competent Computational Thinking test - cCTt,Plugged activities,1
Competent Computational Thinking test - cCTt,Unplugged activities,1
Competent Computational Thinking test - cCTt,Arduino,1
Competent Computational Thinking test - cCTt,CSUnplugged,1
Upper elementary education - Upper elementary school,Conditionals,2
Upper elementary education - Upper elementary school,Control structures,1
Upper elementary education - Upper elementary school,Variables,1
Upper elementary education - Upper elementary school,Confirmatory Factor Analysis - CFA,1
Upper elementary education - Upper elementary school,Item Response Theory (IRT) - IRT,1
Upper elementary education - Upper elementary school,Reliability,1
Upper elementary education - Upper elementary school,Validity,1
Upper elementary education - Upper elementary school,Beginners Computational Thinking test - BCTt,1
Upper elementary education - Upper elementary school,Competent Computational Thinking test - cCTt,1
Upper elementary education - Upper elementary school,Computational Thinking Test,1
Upper elementary education - Upper elementary school,Plugged activities,1
Upper elementary education - Upper elementary school,Unplugged activities,1
Upper elementary education - Upper elementary school,Arduino,1
Upper elementary education - Upper elementary school,CSUnplugged,1
Upper elementary education - Upper elementary school,Critical thinking,1
Upper elementary education - Upper elementary school,Events,1
Upper elementary education - Upper elementary school,Persistence,1
Upper elementary education - Upper elementary school,Exploratory Factor Analysis - EFA,1
Upper elementary education - Upper elementary school,Instrument of computational identity,1
Upper elementary education - Upper elementary school,No experimental,1
Upper elementary education - Upper elementary school,Experimental,1
Upper elementary education - Upper elementary school,Mobile application,1
Upper elementary education - Upper elementary school,Gamification,1
Upper elementary education - Upper elementary school,ScratchJr,1
Upper elementary education - Upper elementary school,Mimo,1
Plugged activities,Conditionals,1
Plugged activities,Control structures,1
Plugged activities,Variables,1
Plugged activities,Confirmatory Factor Analysis - CFA,1
Plugged activities,Item Response Theory (IRT) - IRT,1
Plugged activities,Reliability,1
Plugged activities,Validity,1
Plugged activities,Beginners Computational Thinking test - BCTt,1
Plugged activities,Competent Computational Thinking test - cCTt,1
Plugged activities,Computational Thinking Test,1
Plugged activities,Upper elementary education - Upper elementary school,1
Plugged activities,Unplugged activities,1
Plugged activities,Arduino,1
Plugged activities,CSUnplugged,1
Unplugged activities,Conditionals,1
Unplugged activities,Control structures,1
Unplugged activities,Variables,1
Unplugged activities,Confirmatory Factor Analysis - CFA,1
Unplugged activities,Item Response Theory (IRT) - IRT,1
Unplugged activities,Reliability,1
Unplugged activities,Validity,1
Unplugged activities,Beginners Computational Thinking test - BCTt,1
Unplugged activities,Competent Computational Thinking test - cCTt,1
Unplugged activities,Computational Thinking Test,2
Unplugged activities,Upper elementary education - Upper elementary school,1
Unplugged activities,Plugged activities,1
Unplugged activities,Arduino,1
Unplugged activities,CSUnplugged,1
Unplugged activities,Evaluation,1
Unplugged activities,Logic,1
Unplugged activities,Classical Test Theory - CTT,1
Unplugged activities,Computational Thinking Test for Lower Primary - CTtLP,1
Unplugged activities,Reverse engineering pedagogy,1
Unplugged activities,Collaborative learning,1
Unplugged activities,Robot Turtles,1
Unplugged activities,BEE BOT,1
Arduino,Conditionals,1
Arduino,Control structures,1
Arduino,Variables,1
Arduino,Confirmatory Factor Analysis - CFA,1
Arduino,Item Response Theory (IRT) - IRT,1
Arduino,Reliability,1
Arduino,Validity,1
Arduino,Beginners Computational Thinking test - BCTt,1
Arduino,Competent Computational Thinking test - cCTt,1
Arduino,Computational Thinking Test,1
Arduino,Upper elementary education - Upper elementary school,1
Arduino,Plugged activities,1
Arduino,Unplugged activities,1
Arduino,CSUnplugged,1
Arduino,Directions,1
Arduino,Modular structure,1
Arduino,Computational concepts,1
Arduino,Quasi-experiments,1
Arduino,Secondary school - Secondary education,1
Arduino,STEM,1
Arduino,Design-based learning,1
Arduino,Universal design for learning,1
Arduino,Agent Sheets,1
CSUnplugged,Conditionals,1
CSUnplugged,Control structures,1
CSUnplugged,Variables,1
CSUnplugged,Confirmatory Factor Analysis - CFA,1
CSUnplugged,Item Response Theory (IRT) - IRT,1
CSUnplugged,Reliability,1
CSUnplugged,Validity,1
CSUnplugged,Beginners Computational Thinking test - BCTt,1
CSUnplugged,Competent Computational Thinking test - cCTt,1
CSUnplugged,Computational Thinking Test,1
CSUnplugged,Upper elementary education - Upper elementary school,1
CSUnplugged,Plugged activities,1
CSUnplugged,Unplugged activities,1
CSUnplugged,Arduino,1
Cooperation,Creativity,1
Cooperation,Self-efficacy,1
Cooperation,Computational Thinking Scale - CTS,1
Cooperation,The computational thinking scale,1
Cooperation,Experimental,1
Cooperation,Construct-on-scaffold mind mapping,1
Cooperation,Evidence-centred design approach,1
Cooperation,Game-based learning,1
Cooperation,Code.org,1
Cooperation,Minecraft,1
Creativity,Cooperation,1
Creativity,Self-efficacy,1
Creativity,Computational Thinking Scale - CTS,1
Creativity,The computational thinking scale,1
Creativity,Experimental,1
Creativity,Construct-on-scaffold mind mapping,1
Creativity,Evidence-centred design approach,1
Creativity,Game-based learning,1
Creativity,Code.org,1
Creativity,Minecraft,1
Self-efficacy,Cooperation,1
Self-efficacy,Creativity,1
Self-efficacy,Computational Thinking Scale - CTS,1
Self-efficacy,The computational thinking scale,1
Self-efficacy,Experimental,1
Self-efficacy,Construct-on-scaffold mind mapping,1
Self-efficacy,Evidence-centred design approach,1
Self-efficacy,Game-based learning,1
Self-efficacy,Code.org,1
Self-efficacy,Minecraft,1
Computational Thinking Scale - CTS,Cooperation,1
Computational Thinking Scale - CTS,Creativity,1
Computational Thinking Scale - CTS,Self-efficacy,1
Computational Thinking Scale - CTS,The computational thinking scale,1
Computational Thinking Scale - CTS,Experimental,1
Computational Thinking Scale - CTS,Construct-on-scaffold mind mapping,1
Computational Thinking Scale - CTS,Evidence-centred design approach,1
Computational Thinking Scale - CTS,Game-based learning,1
Computational Thinking Scale - CTS,Code.org,1
Computational Thinking Scale - CTS,Minecraft,1
The computational thinking scale,Cooperation,1
The computational thinking scale,Creativity,1
The computational thinking scale,Self-efficacy,1
The computational thinking scale,Computational Thinking Scale - CTS,1
The computational thinking scale,Experimental,1
The computational thinking scale,Construct-on-scaffold mind mapping,1
The computational thinking scale,Evidence-centred design approach,1
The computational thinking scale,Game-based learning,1
The computational thinking scale,Code.org,1
The computational thinking scale,Minecraft,1
Experimental,Cooperation,1
Experimental,Creativity,1
Experimental,Self-efficacy,1
Experimental,Computational Thinking Scale - CTS,1
Experimental,The computational thinking scale,1
Experimental,Construct-on-scaffold mind mapping,1
Experimental,Evidence-centred design approach,1
Experimental,Game-based learning,1
Experimental,Code.org,1
Experimental,Minecraft,1
Experimental,Debug,1
Experimental,Decomposition,1
Experimental,Modularity,1
Experimental,Multidimensional 21st Century Skills Scale,1
Experimental,high school - higher education,1
Experimental,Flipped classroom,1
Experimental,Personalized learning,1
Experimental,Problem-based learning,1
Experimental,Project-based learning,1
Experimental,Alice,1
Experimental,SpaceChem,1
Experimental,Critical thinking,1
Experimental,Conditionals,1
Experimental,Events,1
Experimental,Persistence,1
Experimental,Exploratory Factor Analysis - EFA,1
Experimental,Instrument of computational identity,1
Experimental,No experimental,1
Experimental,Upper elementary education - Upper elementary school,1
Experimental,Mobile application,1
Experimental,Gamification,1
Experimental,ScratchJr,1
Experimental,Mimo,1
Construct-on-scaffold mind mapping,Cooperation,1
Construct-on-scaffold mind mapping,Creativity,1
Construct-on-scaffold mind mapping,Self-efficacy,1
Construct-on-scaffold mind mapping,Computational Thinking Scale - CTS,1
Construct-on-scaffold mind mapping,The computational thinking scale,1
Construct-on-scaffold mind mapping,Experimental,1
Construct-on-scaffold mind mapping,Evidence-centred design approach,1
Construct-on-scaffold mind mapping,Game-based learning,1
Construct-on-scaffold mind mapping,Code.org,1
Construct-on-scaffold mind mapping,Minecraft,1
Evidence-centred design approach,Cooperation,1
Evidence-centred design approach,Creativity,1
Evidence-centred design approach,Self-efficacy,1
Evidence-centred design approach,Computational Thinking Scale - CTS,1
Evidence-centred design approach,The computational thinking scale,1
Evidence-centred design approach,Experimental,1
Evidence-centred design approach,Construct-on-scaffold mind mapping,1
Evidence-centred design approach,Game-based learning,1
Evidence-centred design approach,Code.org,1
Evidence-centred design approach,Minecraft,1
Game-based learning,Cooperation,1
Game-based learning,Creativity,1
Game-based learning,Self-efficacy,1
Game-based learning,Computational Thinking Scale - CTS,1
Game-based learning,The computational thinking scale,1
Game-based learning,Experimental,1
Game-based learning,Construct-on-scaffold mind mapping,1
Game-based learning,Evidence-centred design approach,1
Game-based learning,Code.org,1
Game-based learning,Minecraft,1
Code.org,Cooperation,1
Code.org,Creativity,1
Code.org,Self-efficacy,1
Code.org,Computational Thinking Scale - CTS,1
Code.org,The computational thinking scale,1
Code.org,Experimental,1
Code.org,Construct-on-scaffold mind mapping,1
Code.org,Evidence-centred design approach,1
Code.org,Game-based learning,1
Code.org,Minecraft,1
Minecraft,Cooperation,1
Minecraft,Creativity,1
Minecraft,Self-efficacy,1
Minecraft,Computational Thinking Scale - CTS,1
Minecraft,The computational thinking scale,1
Minecraft,Experimental,1
Minecraft,Construct-on-scaffold mind mapping,1
Minecraft,Evidence-centred design approach,1
Minecraft,Game-based learning,1
Minecraft,Code.org,1
Coding,Programming,1
Coding,Parallelism,1
Coding,Sequences,1
Coding,Engagement,1
Coding,Motivation,1
Coding,Coding Attitudes Survey - ESCAS,1
Coding,Elementary Student Coding Attitudes Survey - ESCAS,1
Coding,STEM learning attitude scale,1
Coding,Secondary school - Secondary education,1
Coding,Pair programming,1
Coding,STEM,1
Coding,Technology-enhanced learning,1
Coding,Py– Learn,1
Coding,Software/hardware,1
Coding,Perceptions,1
Coding,Computational thinking-skill tasks on numbers and arithmetic,1
Coding,KBIT fluid intelligence subtest,1
Coding,Mixed methods,1
Coding,high school - higher education,1
Coding,Hello Ruby,1
Coding,CUBETTO,1
Parallelism,Coding,1
Parallelism,Programming,1
Parallelism,Sequences,1
Parallelism,Engagement,1
Parallelism,Motivation,1
Parallelism,Coding Attitudes Survey - ESCAS,1
Parallelism,Elementary Student Coding Attitudes Survey - ESCAS,1
Parallelism,STEM learning attitude scale,1
Parallelism,Secondary school - Secondary education,1
Parallelism,Pair programming,1
Parallelism,STEM,1
Parallelism,Technology-enhanced learning,1
Parallelism,Py– Learn,1
Sequences,Coding,1
Sequences,Programming,1
Sequences,Parallelism,1
Sequences,Engagement,1
Sequences,Motivation,1
Sequences,Coding Attitudes Survey - ESCAS,1
Sequences,Elementary Student Coding Attitudes Survey - ESCAS,1
Sequences,STEM learning attitude scale,1
Sequences,Secondary school - Secondary education,1
Sequences,Pair programming,1
Sequences,STEM,1
Sequences,Technology-enhanced learning,1
Sequences,Py– Learn,1
Engagement,Coding,1
Engagement,Programming,1
Engagement,Parallelism,1
Engagement,Sequences,1
Engagement,Motivation,1
Engagement,Coding Attitudes Survey - ESCAS,1
Engagement,Elementary Student Coding Attitudes Survey - ESCAS,1
Engagement,STEM learning attitude scale,1
Engagement,Secondary school - Secondary education,1
Engagement,Pair programming,1
Engagement,STEM,1
Engagement,Technology-enhanced learning,1
Engagement,Py– Learn,1
Motivation,Coding,1
Motivation,Programming,1
Motivation,Parallelism,1
Motivation,Sequences,1
Motivation,Engagement,1
Motivation,Coding Attitudes Survey - ESCAS,1
Motivation,Elementary Student Coding Attitudes Survey - ESCAS,1
Motivation,STEM learning attitude scale,1
Motivation,Secondary school - Secondary education,1
Motivation,Pair programming,1
Motivation,STEM,1
Motivation,Technology-enhanced learning,1
Motivation,Py– Learn,1
Coding Attitudes Survey - ESCAS,Coding,1
Coding Attitudes Survey - ESCAS,Programming,1
Coding Attitudes Survey - ESCAS,Parallelism,1
Coding Attitudes Survey - ESCAS,Sequences,1
Coding Attitudes Survey - ESCAS,Engagement,1
Coding Attitudes Survey - ESCAS,Motivation,1
Coding Attitudes Survey - ESCAS,Elementary Student Coding Attitudes Survey - ESCAS,1
Coding Attitudes Survey - ESCAS,STEM learning attitude scale,1
Coding Attitudes Survey - ESCAS,Secondary school - Secondary education,1
Coding Attitudes Survey - ESCAS,Pair programming,1
Coding Attitudes Survey - ESCAS,STEM,1
Coding Attitudes Survey - ESCAS,Technology-enhanced learning,1
Coding Attitudes Survey - ESCAS,Py– Learn,1
Elementary Student Coding Attitudes Survey - ESCAS,Coding,1
Elementary Student Coding Attitudes Survey - ESCAS,Programming,1
Elementary Student Coding Attitudes Survey - ESCAS,Parallelism,1
Elementary Student Coding Attitudes Survey - ESCAS,Sequences,1
Elementary Student Coding Attitudes Survey - ESCAS,Engagement,1
Elementary Student Coding Attitudes Survey - ESCAS,Motivation,1
Elementary Student Coding Attitudes Survey - ESCAS,Coding Attitudes Survey - ESCAS,1
Elementary Student Coding Attitudes Survey - ESCAS,STEM learning attitude scale,1
Elementary Student Coding Attitudes Survey - ESCAS,Secondary school - Secondary education,1
Elementary Student Coding Attitudes Survey - ESCAS,Pair programming,1
Elementary Student Coding Attitudes Survey - ESCAS,STEM,1
Elementary Student Coding Attitudes Survey - ESCAS,Technology-enhanced learning,1
Elementary Student Coding Attitudes Survey - ESCAS,Py– Learn,1
STEM learning attitude scale,Coding,1
STEM learning attitude scale,Programming,1
STEM learning attitude scale,Parallelism,1
STEM learning attitude scale,Sequences,1
STEM learning attitude scale,Engagement,1
STEM learning attitude scale,Motivation,1
STEM learning attitude scale,Coding Attitudes Survey - ESCAS,1
STEM learning attitude scale,Elementary Student Coding Attitudes Survey - ESCAS,1
STEM learning attitude scale,Secondary school - Secondary education,1
STEM learning attitude scale,Pair programming,1
STEM learning attitude scale,STEM,1
STEM learning attitude scale,Technology-enhanced learning,1
STEM learning attitude scale,Py– Learn,1
Secondary school - Secondary education,Coding,1
Secondary school - Secondary education,Programming,1
Secondary school - Secondary education,Parallelism,1
Secondary school - Secondary education,Sequences,1
Secondary school - Secondary education,Engagement,1
Secondary school - Secondary education,Motivation,1
Secondary school - Secondary education,Coding Attitudes Survey - ESCAS,1
Secondary school - Secondary education,Elementary Student Coding Attitudes Survey - ESCAS,1
Secondary school - Secondary education,STEM learning attitude scale,1
Secondary school - Secondary education,Pair programming,1
Secondary school - Secondary education,STEM,2
Secondary school - Secondary education,Technology-enhanced learning,1
Secondary school - Secondary education,Py– Learn,1
Secondary school - Secondary education,Directions,1
Secondary school - Secondary education,Modular structure,1
Secondary school - Secondary education,Computational concepts,1
Secondary school - Secondary education,Quasi-experiments,1
Secondary school - Secondary education,Design-based learning,1
Secondary school - Secondary education,Universal design for learning,1
Secondary school - Secondary education,Arduino,1
Secondary school - Secondary education,Agent Sheets,1
Pair programming,Coding,1
Pair programming,Programming,1
Pair programming,Parallelism,1
Pair programming,Sequences,1
Pair programming,Engagement,1
Pair programming,Motivation,1
